model,context_target,context_length,nominal_budget,effective_budget,effective_tokens,iso_condition,quant_bits,quant_byte_cost,physical_byte_cost,arm,arm_label,protection,eviction,promotion,promotion_id,full_fraction,recency_window,sink,seed,accuracy,k,n_turns,n_full,n_quant,bytes,n_protected_lines,oracle_oversubscribed,dormancy_events,dormancy_max_run,quant_calls,quant_violations,quant_max_levels
Qwen/Qwen2.5-1.5B-Instruct,2048,2047,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,47,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2047,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,48,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2068,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,49,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2042,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,50,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2053,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,51,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2054,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,52,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2028,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,53,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2045,293,293,294,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,54,0.0,0,6,293,0,293.0,0,False,3,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2054,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,55,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2065,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,56,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2065,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,57,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,58,0.0,0,6,293,0,293.0,0,False,3,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2058,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,59,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2052,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,60,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2043,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,61,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2047,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,62,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2035,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,63,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,64,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2055,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,65,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2040,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,66,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
